epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,211.391,1.17754,1.03742,1.41373,0.8212,0.90291,0.92009,0.61527,1.20847,0.75985,1.39376,0.0005941,0.0005941,0.0005941
43,216.228,1.16111,1.02333,1.40525,0.8285,0.91108,0.93057,0.65173,1.12795,0.72051,1.32533,0.0005842,0.0005842,0.0005842
44,221.052,1.17384,1.03763,1.41045,0.85102,0.91844,0.93773,0.6464,1.11578,0.71387,1.29701,0.0005743,0.0005743,0.0005743
45,225.875,1.13559,1.01392,1.38856,0.82212,0.91962,0.93489,0.62658,1.15363,0.73923,1.35096,0.0005644,0.0005644,0.0005644
46,230.852,1.14717,0.9995,1.3938,0.86039,0.91748,0.94173,0.6782,1.09816,0.70323,1.29871,0.0005545,0.0005545,0.0005545
47,235.853,1.12291,0.98643,1.382,0.90864,0.88401,0.94826,0.65782,1.14377,0.68803,1.30599,0.0005446,0.0005446,0.0005446
48,240.854,1.12463,0.97122,1.37631,0.90372,0.90488,0.9413,0.65559,1.13989,0.69753,1.32755,0.0005347,0.0005347,0.0005347
49,245.838,1.14348,0.98865,1.38469,0.89058,0.91757,0.9527,0.68097,1.10679,0.67679,1.27788,0.0005248,0.0005248,0.0005248
50,250.846,1.12012,0.96667,1.38134,0.88305,0.91394,0.94462,0.66643,1.10944,0.68487,1.30227,0.0005149,0.0005149,0.0005149
51,255.849,1.13283,0.99128,1.3872,0.89828,0.90075,0.94737,0.68234,1.06977,0.68126,1.27006,0.000505,0.000505,0.000505
52,260.884,1.10315,0.95091,1.35987,0.89398,0.86282,0.93944,0.66729,1.0877,0.70077,1.28704,0.0004951,0.0004951,0.0004951
53,265.899,1.10194,0.96183,1.36482,0.88817,0.89705,0.94473,0.67037,1.07019,0.66388,1.27009,0.0004852,0.0004852,0.0004852
54,270.887,1.13172,0.96502,1.38393,0.8387,0.9082,0.93707,0.67628,1.07733,0.66793,1.27335,0.0004753,0.0004753,0.0004753
55,275.864,1.08785,0.93886,1.35579,0.82323,0.91569,0.94583,0.66685,1.09361,0.67715,1.29629,0.0004654,0.0004654,0.0004654
56,280.867,1.09242,0.93442,1.35205,0.90093,0.92044,0.95526,0.68372,1.07831,0.66017,1.26839,0.0004555,0.0004555,0.0004555
57,285.892,1.09344,0.91434,1.36225,0.8928,0.91233,0.95366,0.69004,1.05961,0.64601,1.25335,0.0004456,0.0004456,0.0004456
58,290.887,1.10058,0.94095,1.36082,0.86205,0.9322,0.95084,0.68657,1.03823,0.61922,1.24694,0.0004357,0.0004357,0.0004357
59,295.877,1.08542,0.91106,1.35273,0.84584,0.93718,0.95348,0.69036,1.05552,0.63284,1.25158,0.0004258,0.0004258,0.0004258
60,300.901,1.08732,0.90768,1.34007,0.88454,0.92392,0.95879,0.71216,1.01703,0.62698,1.22954,0.0004159,0.0004159,0.0004159
61,305.916,1.07792,0.90741,1.34064,0.89815,0.91542,0.96378,0.69959,1.02689,0.61527,1.24069,0.000406,0.000406,0.000406
62,310.916,1.09383,0.9293,1.34985,0.88296,0.93567,0.95155,0.69491,1.05199,0.63199,1.23465,0.0003961,0.0003961,0.0003961
63,315.898,1.06075,0.88223,1.33261,0.90582,0.9188,0.95805,0.69933,1.04114,0.62305,1.24658,0.0003862,0.0003862,0.0003862
64,320.909,1.08396,0.91902,1.34515,0.88903,0.91223,0.95592,0.69776,1.05087,0.6197,1.23436,0.0003763,0.0003763,0.0003763
65,325.915,1.05524,0.88101,1.3299,0.89082,0.92389,0.95923,0.70255,1.04292,0.62155,1.23617,0.0003664,0.0003664,0.0003664
66,330.934,1.0428,0.87448,1.33074,0.84774,0.94237,0.95399,0.70355,1.04854,0.63022,1.24045,0.0003565,0.0003565,0.0003565
67,335.953,1.05926,0.89029,1.32028,0.86117,0.91073,0.95455,0.70939,1.02984,0.63243,1.24075,0.0003466,0.0003466,0.0003466
68,340.956,1.0458,0.86629,1.31525,0.88705,0.93894,0.95946,0.70346,1.05332,0.61034,1.2388,0.0003367,0.0003367,0.0003367
69,345.851,1.06816,0.88231,1.33032,0.89645,0.94032,0.96185,0.71236,1.03022,0.59803,1.23521,0.0003268,0.0003268,0.0003268
70,350.688,1.04819,0.86889,1.31356,0.86395,0.93792,0.95777,0.71244,1.0337,0.608,1.22824,0.0003169,0.0003169,0.0003169
71,355.667,1.02901,0.83891,1.30954,0.86575,0.94396,0.96086,0.71144,1.01633,0.59307,1.21109,0.000307,0.000307,0.000307
72,360.686,1.0385,0.85509,1.31661,0.89095,0.93949,0.96554,0.72275,1.00224,0.59028,1.20745,0.0002971,0.0002971,0.0002971
73,365.725,1.02336,0.84634,1.30875,0.89976,0.93957,0.96294,0.7033,1.06969,0.60796,1.25591,0.0002872,0.0002872,0.0002872
74,370.771,1.02255,0.82674,1.29594,0.86881,0.92477,0.95955,0.71609,1.015,0.59293,1.2151,0.0002773,0.0002773,0.0002773
75,375.818,1.01775,0.82696,1.30344,0.89226,0.93476,0.96127,0.72095,1.00316,0.57938,1.20594,0.0002674,0.0002674,0.0002674
76,380.855,1.03028,0.83189,1.30793,0.89256,0.92758,0.96251,0.71771,0.99134,0.57859,1.19811,0.0002575,0.0002575,0.0002575
77,385.873,1.02468,0.82564,1.30528,0.88011,0.94516,0.96759,0.72643,0.99978,0.56779,1.2042,0.0002476,0.0002476,0.0002476
78,390.91,1.00681,0.81137,1.29409,0.88007,0.9478,0.96006,0.71718,1.00586,0.58187,1.22411,0.0002377,0.0002377,0.0002377
79,395.909,1.00098,0.80533,1.2901,0.90823,0.93356,0.96569,0.72732,0.98923,0.57266,1.19256,0.0002278,0.0002278,0.0002278
80,400.948,0.99582,0.795,1.28421,0.91418,0.9465,0.96802,0.72975,0.99833,0.56697,1.20066,0.0002179,0.0002179,0.0002179
81,405.977,1.00484,0.808,1.28663,0.90876,0.93879,0.96762,0.73421,0.98778,0.57019,1.18823,0.000208,0.000208,0.000208
82,411.021,0.99846,0.81163,1.28956,0.88872,0.94764,0.9654,0.7337,0.98474,0.56904,1.19113,0.0001981,0.0001981,0.0001981
83,416.042,1.00762,0.82407,1.29737,0.89934,0.94742,0.96438,0.71735,1.00328,0.57651,1.21967,0.0001882,0.0001882,0.0001882
84,420.986,1.00544,0.81952,1.29579,0.90059,0.95132,0.96632,0.73229,0.97626,0.56048,1.18766,0.0001783,0.0001783,0.0001783
85,425.848,0.97849,0.79452,1.27609,0.90523,0.93989,0.96586,0.72373,0.99588,0.56496,1.21258,0.0001684,0.0001684,0.0001684
86,430.69,0.97005,0.78417,1.27415,0.89971,0.93182,0.96441,0.72457,0.99121,0.57656,1.20703,0.0001585,0.0001585,0.0001585
87,435.565,0.98683,0.79564,1.27443,0.91737,0.93858,0.96469,0.73022,0.97777,0.56116,1.18947,0.0001486,0.0001486,0.0001486
